,index,text,split
0,Q2_1,I feel my contributions are valued,['I feel my contributions are valued']
1,Q2_2,I have confidence in my own ability to be academically successful,"['I have confidence in my own ability', 'to be academically successful']"
2,Q2_3,I feel that the material I learn in class is valuable,"['I feel that the material I learn in', 'class is valuable']"
3,Q2_4,"Students informally instruct each other, ask each other questions, and/or learn from each other","['Students informally instruct each', 'other, ask each other questions,', 'and/or learn from each other']"
4,Q2_5,"The environment is collaborative, not competitive","['The environment is collaborative,', 'not competitive']"
5,Q2_6,"When I am struggling to learn course material, I have resources to help","['When I am struggling to learn', 'course material, I have resources', 'to help']"
6,Q2_7,I feel all students are treated equitably by the professors,"['I feel all students are treated', 'equitably by the professors']"
7,Q2_8,"I feel I have the same opportunities to succeed as my classmates, regardless of my identity or life circumstances","['I feel I have the same', 'opportunities to succeed as my', 'classmates, regardless of my', 'identity or life circumstances']"
8,Q3,"If you disagreed with any of the previous statements, or if you would like to suggest academic or other resources you'd like to see, please feel free to share details here.","['If you disagreed with any of the', 'previous statements, or if you', 'would like to suggest academic or', ""other resources you'd like to see,"", 'please feel free to share details', 'here.']"
9,Q5,How strongly do you feel that you belong in the math department?,"['How strongly do you feel that you', 'belong in the math department?']"
10,Q6_1,Friendliness/approachability of classmates,"['Friendliness/approachability of', 'classmates']"
11,Q6_2,Friendliness/approachability of  faculty and staff,"['Friendliness/approachability of', 'faculty and staff']"
12,Q6_3,Feeling valued by the faculty and staff,"['Feeling valued by the faculty and', 'staff']"
13,Q6_4,"Department activities and events like math club, colloquium talks, math chat, etc.","['Department activities and events', 'like math club, colloquium talks,', 'math chat, etc.']"
14,Q6_5,I feel I can be myself with other department members,"['I feel I can be myself with other', 'department members']"
15,Q6_6,Something not listed makes me feel included,"['Something not listed makes me feel', 'included']"
16,Q6_6_TEXT,Something not listed makes me feel included,"['Something not listed makes me feel', 'included']"
17,Q7_1,I don't feel successful in my courses,"[""I don't feel successful in my"", 'courses']"
18,Q7_2,I don't know my classmates or don't feel connected to them,"[""I don't know my classmates or don't"", 'feel connected to them']"
19,Q7_3,"I don't feel included in the math community as a whole, or don't know about the math community","[""I don't feel included in the math"", ""community as a whole, or don't know"", 'about the math community']"
20,Q7_4,"There are not many people who look like me (faculty, staff, and students)","['There are not many people who look', 'like me (faculty, staff, and', 'students)']"
21,Q7_5,I have experienced exclusion based on my identity,"['I have experienced exclusion based', 'on my identity']"
22,Q7_6,Something not listed makes me feel excluded,"['Something not listed makes me feel', 'excluded']"
23,Q7_6_TEXT,Something not listed makes me feel excluded,"['Something not listed makes me feel', 'excluded']"
24,Q9,you by classmates,['you by classmates']
25,Q10,About how often have you experienced this treatment?,"['About how often have you', 'experienced this treatment?']"
26,Q11,Please describe.,['Please describe.']
27,Q12,other students by classmates,['other students by classmates']
28,Q13,About how often do you witness this treatment?,"['About how often do you witness this', 'treatment?']"
29,Q14,Please describe.,['Please describe.']
30,Q15,you by faculty or staff,['you by faculty or staff']
31,Q16,About how often do you experience this treatment?,"['About how often do you experience', 'this treatment?']"
32,Q17,Please describe.,['Please describe.']
33,Q18,other students by faculty or staff,['other students by faculty or staff']
34,Q19,About how often do you witness this treatment?,"['About how often do you witness this', 'treatment?']"
35,Q20,Please describe.,['Please describe.']
36,Q22,What is your department/major?,['What is your department/major?']
37,Q23,Have you ever considered majoring in math?,"['Have you ever considered majoring', 'in math?']"
38,Q24,Selected Choice,['Selected Choice']
39,Q24_7_TEXT,Something not listed,['Something not listed']
40,Q25,Have you ever seriously considered changing your major to something outside the math department?,"['Have you ever seriously considered', 'changing your major to something', 'outside the math department?']"
41,Q26,Selected Choice,['Selected Choice']
42,Q26_15_TEXT,Another reason not listed,['Another reason not listed']
43,Q27_2,How many math majors do you know?,['How many math majors do you know?']
44,Q28,Have you ever attended a Math Club meeting?,"['Have you ever attended a Math Club', 'meeting?']"
45,Q29,Selected Choice,['Selected Choice']
46,Q29_4_TEXT,"No, not enough (If no, please specify what you would change)","['No, not enough (If no, please', 'specify what you would change)']"
47,Q30,graduation?,['graduation?']
48,Q31,graduation employment and education options and opportunities?,"['graduation employment and education', 'options and opportunities?']"
49,Q32_16,What is your age?,['What is your age?']
50,Q33,Selected Choice,['Selected Choice']
51,Q33_8_TEXT,"Other (optionally, specify)","['Other (optionally, specify)']"
52,Q34,Selected Choice,['Selected Choice']
53,Q34_4_TEXT,"I use a term not specified (optionally, specify)","['I use a term not specified', '(optionally, specify)']"
54,Q35,Do you identify as transgender?,['Do you identify as transgender?']
55,Q36,Selected Choice,['Selected Choice']
56,Q36_5_TEXT,"I use a term not specified (optionally, specify)","['I use a term not specified', '(optionally, specify)']"
57,Q37,Are you an international student?,['Are you an international student?']
58,Q38,Are you a veteran?,['Are you a veteran?']
59,Q39,Are you a parent?,['Are you a parent?']
60,Q40,Do you experience any of the following financial burdens?,"['Do you experience any of the', 'following financial burdens?']"
61,Q41,Selected Choice,['Selected Choice']
62,Q41_6_TEXT,"Other (optionally, specify)","['Other (optionally, specify)']"
63,Q42,represented group(s) at Seattle University (other than those mentioned above)?,"['represented group(s) at Seattle', 'University (other than those', 'mentioned above)?']"
64,Q42_1_TEXT,represented group(s) at Seattle University (other than those mentioned above)?,"['represented group(s) at Seattle', 'University (other than those', 'mentioned above)?']"
